"Eurotrip"%2004%"Jeff Schaffer"%"Kristin"%"Kreuk"
"Star Wars: Episode III - Revenge of the Sith"%2005%"George Lucas"%"Natalie"%"Portman"
"Bicentennial Man"%1999%"Chris Columbus"%"Robin"%"Williams"
"Lord of the Rings: The Return of the King"%2003%"Peter Jackson"%"Liv"%"Tyler"
"Spider Man 2"%2004%"Sam Raimi"%"Kirsten Dunst"%"Kreuk"
"Smallville: Season 3"%2004%"Alfred Gough"%"Kristin"%"Kreuk"
"The Majestic"%2001%"Frank Darabont"%"Jim"%"Carrey"
"Insomnia"%2002%"Christopher Nolan"%"Robin"%"Williams"
"Lord of the Rings: The Two Towers"%2002%"Peter Jackson"%"Liv"%"Tyler"
"Daredevil"%2003%"Mark Steven Johnson"%"Jennifer"%"Garner"
"Spider Man"%2002%"Sam Raimi"%"Kirsten Dunst"%"Kreuk"
"The Phantom of the Opera"%2004%"Joel Schumacher"%"Gerard"%"Butler"
"The Phantom of the Opera"%2004%"Joel Schumacher"%"Minnie"%"Driver"
"12 Monkeys"%1995%"Terry Gilliam"%"Madeleine"%"Stowe"
"12 Monkeys"%1995%"Terry Gilliam"%"Bruce"%"Willis"
"12 Monkeys"%1995%"Terry Gilliam"%"Brad"%"Pitt"
"Blade Runner"%1982%"Ridley Scott"%"Rutger"%"Hauer"
"Blade Runner"%1982%"Ridley Scott"%"Daryl"%"Hannah"
"Blade Runner"%1982%"Ridley Scott"%"Harrison"%"Ford"
"The Usual Suspects"%1995%"Bryan Singer"%"Kevin"%"Spacey"
"The Usual Suspects"%1995%"Bryan Singer"%"Gabriel"%"Byrne"
"Zoolander"%2001%"Ben Stiller"%"Owen"%"Wilson"
"Zoolander"%2001%"Ben Stiller"%"Ben"%"Stiller"
"The Life Aquatic"%2004%"Wes Anderson"%"Bill"%"Murray"
"The Life Aquatic"%2004%"Wes Anderson"%"Cate "%"Blanchett"
"The Life Aquatic"%2004%"Wes Anderson"%"Owen"%"Wilson"
"The Lost Boys"%1987%"Joel Schumacher"%"Kiefer"%"Sutherland"
"The Royal Tenenbaums"%2001%"Wes Anderson"%"Mel"%"Gibson"
"A Nightmare On Elm Street"%1984%"Wes Craven"%"Johnny"%"Depp"
"Dumb and Dumber"%1994%"Peter Farrelly"%"Jeff"%"Daniels"
"Dumb and Dumber"%1994%"Peter Farrelly"%"Jim"%"Carrey"
"Elf"%2003%"Jon Favreau"%"Will"%"Farrel"
"Monty Python and the Holy Grail"%1975%"Terry Jones"%"Graham"%"Chapman"
"Bourne Identity"%2004%"Doug Liman"%"Franka"%"Potente"
"Bourne Identity"%2004%"Doug Liman"%"Chris"%"Cooper"
"Bourne Identity"%2004%"Doug Liman"%"Brian"%"Cox"
"Bourne Identity"%2004%"Doug Liman"%"Matt"%"Damon"
"Mr. and Mrs. Smith"%2005%"Doug Liman"%"Greg"%"Ellis"
"Mr. and Mrs. Smith"%2005%"Doug Liman"%"Angelina"%"Jolie"
"Mr. and Mrs. Smith"%2005%"Doug Liman"%"Brad"%"Pitt"
"Gone in 60 Seconds"%2000%"Dominic Sena"%"Nickolas"%"Cage"
"Gone in 60 Seconds"%2000%"Dominic Sena"%"Giovanni"%"Ribsi"
"Gone in 60 Seconds"%2000%"Dominic Sena"%"William"%"Scott"
"Gone in 60 Seconds"%2000%"Dominic Sena"%"Scott"%"Caan"
"Gone in 60 Seconds"%2000%"Dominic Sena"%"Angelina"%"Jolie"
"Bride and Prejudice"%2005%"Gurinder Chadha"%"Aishwarya"%"Rai"
"Bride and Prejudice"%2005%"Gurinder Chadha"%"Martin"%"Henderson"
"The Hunted"%2003%"William Friedkin"%"Benicio"%"Del Toro"
"The Hunted"%2003%"William Friedkin"%"TommyLee"%"Jones"
"Charlie and the Chocolate Factory"%2005%"Tim Burton"%"Johnny"%"Depp"
"Are We There Yet"%2005%"Brian Levant"%"Ice"%"Cube"
"Beautiful Boxer"%2005%"Ekachai Uekrongtham"%"Asanee"%"Suwan"
"Alone in the Dark "%2005%"Uwe Boll"%"Christian"%"Slater"
"Hide and Seek"%2005%"John Polson"%"Robert"%"De Niro"
"Coach Carter"%2005%"Thomas Carter"%"Samuel"%"Jackson"
"Racing Stripes"%2005%"Frederik Du Chau"%"Emmet"%"Walsh"
"Kingdom of Heaven"%2005%"Ridley Scott"%"Orlando"%"Bloom"
"Alexander"%2005%"Oliver Stone"%"Colin"%"Farrell"
"Aviator"%2004%"Martin Scorsese"%"Leonardo"%"DiCaprio"
"Aviator"%2004%"Martin Scorsese"%"Cate"%"Blanchett"
"Aviator"%2004%"Martin Scorsese"%"Kate"%"Beckinsale"
"Love the Hard Way"%2001%"Peter Sehr"%"Charlotte"%"Ayanna"
"Love the Hard Way"%2001%"Peter Sehr"%"Adrien"%"Brody"
"The Terminator"%1984%"James Cameron"%"Arnold"%"Schwarzenegger"
"The Terminator"%1984%"James Cameron"%"Linda"%"Hamilton"
"Jurassic Park"%1993%"Steven Spielberg"%"Jeff"%"Goldblum"
"Jurassic Park"%1993%"Steven Spielberg"%"Linda"%"Hamilton"
"Jurassic Park"%1993%"Steven Spielberg"%"Samuel L."%"Jackson"
"Snatch"%2000%"Guy Ritchie"%"Jason"%"Statham"
"Snatch"%2000%"Guy Ritchie"%"Benicio"%"Del Toro"
"Snatch"%2000%"Guy Ritchie"%"Vinnie"%"Jones"
"Snatch"%2000%"Guy Ritchie"%"Brad"%"Pitt"
"The New World"%2005%"Terrence Malick"%"Colin"%"Ferrell"
"The New World"%2005%"Terrence Malick"%"Christian"%"Bale"
"Racing Stripes"%2005%"Frederik Du Chau"%"Frankie"%"Muniz"
"Racing Stripes"%2005%"Frederik Du Chau"%"Whoopi"%"Goldberg"
"Racing Stripes"%2005%"Frederik Du Chau"%"Dustin"%"Hoffman"
"Cinderella Man"%2005%"Ron Howard"%"Renee"%"Zellweger"
"Cinderella Man"%2005%"Ron Howard"%"Russell"%"Crowe"
"The Ring 2"%2005%"Hideo Nakata"%"Naomi"%"Watts"
"Robots"%2005%"Chris Wedge"%"Halle"%"Berry"
"Robots"%2005%"Chris Wedge"%"Ewan"%"McGregor"
"Son Of The Mask"%2005%"Larry Guterman"%"Jamie"%"Kennedy"
"Bride And Prejudice"%2004%"Gurinder Chadha"%"Martin"%"Henderson"
"Miss Congeniality 2: ARMED AND FABULOUS"%2005%"John Pasquin"%"Sandra"%"Bullock"
"Swimming Upstream"%2003%"Russell Mulcahy"%"Geoffrey"%"Rush"
"Unleashed"%2005%"Louis Leterrier"%"Morgan"%"Freeman"
"Unleashed"%2005%"Louis Leterrier"%"Jet"%"Li"
"Spiderman 2"%2005%"Sam Raimi"%"Kirsten"%"Dunst"
"Spiderman 2"%2005%"Sam Raimi"%"Tobey"%"Maguire"
"Hitch"%2005%"Andy Tennant"%"Will"%"Smith"
"Million Dollar Baby"%2005%"Clint Eastwood"%"Clint"%"Eastwood"
"The Machinist"%2005%"Brad Anderson"%"Christian"%"Bale"
"Alexander"%2004%"Oliver Stone"%"Colin"%"Ferrell"
"Alexander"%2004%"Oliver Stone"%"Angelina"%"Jolie"
"About A Boy"%2002%"Chris Weitz"%"Hugh"%"Grant"
"Hero"%2002%"Yimou Zhang"%"Jet"%"Li"
"Lost In Translation"%2003%"Sofia Coppola"%"Scarlett"%"Johansson"
"Wonder Boys"%2000%"Curtis Hanson"%"Michael"%"Douglas"
"Before Sunrise"%1995%"Richard Linklater"%"Ethan"%"Hawke"
"Requiem For a Dream"%2000%"Darren Aronofsky"%"Jennifer"%"Connelly"
"Godsend"%2004%"Nick Hamm"%"Robert"%"De Niro"
"Along Came Polly"%2004%"John Hamburg"%"Jennifer"%"Aniston"
"Along Came Polly"%2004%"John Hamburg"%"Ben"%"Stiller"
"Bruce Almighty"%2003%"Tom Shadyac"%"Jennifer"%"Aniston"
"Bruce Almighty"%2003%"Tom Shadyac"%"Jim"%"Carrey"
"Lemony Snicket's A Series of Unfortunate Events"%2004%"Brad Silberling"%"Meryl"%"Streep"
"Lemony Snicket's A Series of Unfortunate Events"%2004%"Brad Silberling"%"Jude"%"Law"
"Lemony Snicket's A Series of Unfortunate Events"%2004%"Brad Silberling"%"Jim"%"Carrey"
"Birth"%2004%"Jonathan Glazer"%"Nicole"%"Kidman"
"Snatch."%2000%"Guy Ritchie"%"Brad"%"Pitt"
"X2"%2003%"Bryan Singer"%"Hugh"%"Jackman"
"X2"%2003%"Bryan Singer"%"Rebecca"%"Romijn-Stamos"
"X2"%2003%"Bryan Singer"%"Halle"%"Berry"
"X2"%2003%"Bryan Singer"%"Kelly"%"Hu"
"White Noise"%2005%"Geoffrey Sax"%"Michael"%"Keaton"
"Eternal Sunshine of the Spotless Mind"%2004%"Michel Gondry"%"Mark"%"Ruffalo"
"Le Fabuleux destin dAm?ie Poulain"%2001%"Jean-Pierre Jeunet"%"Audrey"%"Tautou"
"Ghost World"%2004%"Terry Zwigoff"%"Scarlett"%"Johansson"
"Girl with a Pearl Earring"%2003%"Peter Webber"%"Scarlett"%"Johansson"
"Girl with a Pearl Earring"%2003%"Peter Webber"%"Colin"%"Firth"
"I Heart Huckabees"%2004%"David O. Russell"%"Jude"%"Law"
"Donnie Darko"%2001%"Richard Kelly"%"Jake"%"Gyllenhaal"
"The Princess Bride"%1987%"Rob Reiner"%"Billy"%"Crystal"
"Vampire Effect"%2003%"Dante Lam"%"Jackie"%"Chan"
"Hostage"%2005%"Florent Emilio Siri"%"Bruce"%"Willis"
"Cold Mountain"%2003%"Anthony Minghella"%"Renee"%"Zellweger"
"Cold Mountain"%2003%"Anthony Minghella"%"Jude"%"Law"
"Cold Mountain"%2003%"Anthony Minghella"%"Nicole"%"Kidman"
"The Sound of Music"%1965%"Robert Wise"%"Julie"%"Andrews"
"Walk in the Clouds"%1995%"Alfonso Arau"%"Keanu"%"Reeves"
"Traffic"%2000%"Steven Soderbergh"%"Benicio"%"Del Toro"
"Traffic"%2000%"Steven Soderbergh"%"Michael"%"Douglas"
"Traffic"%2000%"Steven Soderbergh"%"Catherine"%"Zeta-Jones"
"Pretty Woman"%1990%"Gary Marshall"%"Richard"%"Gere"
"Pretty Woman"%1990%"Gary Marshall"%"Julia"%"Roberts"
"Notting Hill"%1999%"Roger Michell"%"Julia"%"Roberts"
"Stepmom"%1998%"Chris Columbus"%"Julia"%"Roberts"
"Star Wars, Episode 3: Revenge of the Sith"%2005%"George Lucas"%"Ewan"%"McGregor"
"Star Wars, Episode 3: Revenge of the Sith"%2005%"George Lucas"%"Natalie"%"Portman"
"Star Wars, Episode 3: Revenge of the Sith"%2005%"George Lucas"%"Samuel"%"Jackson"
"The Lord of the Rings: The Return of the King"%2003%"Peter Jackson"%"Ian"%"Holm"
"The Lord of the Rings: The Return of the King"%2003%"Peter Jackson"%"Liv"%"Tyler"
"The Lord of the Rings: The Return of the King"%2003%"Peter Jackson"%"Elijah"%"Wood"
"The Lord of the Rings: The Return of the King"%2003%"Peter Jackson"%"Sean"%"Astin"
"The Lord of the Rings: The Two Towers"%2002%"Peter Jackson"%"Ian"%"Holm"
"The Lord of the Rings: The Two Towers"%2002%"Peter Jackson"%"Liv"%"Tyler"
"The Lord of the Rings: The Two Towers"%2002%"Peter Jackson"%"Elijah"%"Wood"
"The Lord of the Rings: The Two Towers"%2002%"Peter Jackson"%"Sean"%"Astin"
"In Good Company"%2004%"Paul Weitz"%"Dennis"%"Quaid"
"Hotel Rwanda"%2004%"Terry George"%"Don"%"Cheadle"
"Dr. No"%1962%"Terence Young"%"Sean"%"Connery"
"Dr. No"%1962%"Terence Young"%"Bernard"%"Lee"
"Dr. No"%1962%"Terence Young"%"Lois"%"Maxwell"
"From Russia with Love"%1963%"Terence Young"%"Sean"%"Connery"
"From Russia with Love"%1963%"Terence Young"%"Bernard"%"Lee"
"From Russia with Love"%1963%"Terence Young"%"Lois"%"Maxwell"
"From Russia with Love"%1963%"Terence Young"%"Desmond"%"Llewelyn"
"Goldfinger"%1964%"Guy Hamilton"%"Sean"%"Connery"
"Goldfinger"%1964%"Guy Hamilton"%"Bernard"%"Lee"
"Goldfinger"%1964%"Guy Hamilton"%"Lois"%"Maxwell"
"Goldfinger"%1964%"Guy Hamilton"%"Desmond"%"Llewelyn"
"Thunderball"%1965%"Terence Young"%"Sean"%"Connery"
"Thunderball"%1965%"Terence Young"%"Bernard"%"Lee"
"Thunderball"%1965%"Terence Young"%"Lois"%"Maxwell"
"Thunderball"%1965%"Terence Young"%"Desmond"%"Llewelyn"
"You Only Live Twice"%1967%"Lewis Gilbert"%"Sean"%"Connery"
"You Only Live Twice"%1967%"Lewis Gilbert"%"Bernard"%"Lee"
"You Only Live Twice"%1967%"Lewis Gilbert"%"Lois"%"Maxwell"
"You Only Live Twice"%1967%"Lewis Gilbert"%"Desmond"%"Llewelyn"
"On Her Majestys Secret Service"%1969%"Peter R. Hunt"%"George"%"Lazenby"
"On Her Majestys Secret Service"%1969%"Peter R. Hunt"%"Bernard"%"Lee"
"On Her Majestys Secret Service"%1969%"Peter R. Hunt"%"Lois"%"Maxwell"
"On Her Majestys Secret Service"%1969%"Peter R. Hunt"%"Desmond"%"Llewelyn"
"Diamonds are Forever"%1971%"Guy Hamilton"%"Sean"%"Connery"
"Diamonds are Forever"%1971%"Guy Hamilton"%"Bernard"%"Lee"
"Diamonds are Forever"%1971%"Guy Hamilton"%"Lois"%"Maxwell"
"Diamonds are Forever"%1971%"Guy Hamilton"%"Desmond"%"Llewelyn"
"Live and Let Die"%1973%"Guy Hamilton"%"Roger"%"Moore"
"Live and Let Die"%1973%"Guy Hamilton"%"Bernard"%"Lee"
"Live and Let Die"%1973%"Guy Hamilton"%"Lois"%"Maxwell"
"The Man with the Golden Gun"%1974%"Guy Hamilton"%"Roger"%"Moore"
"The Man with the Golden Gun"%1974%"Guy Hamilton"%"Bernard"%"Lee"
"The Man with the Golden Gun"%1974%"Guy Hamilton"%"Lois"%"Maxwell"
"The Man with the Golden Gun"%1974%"Guy Hamilton"%"Desmond"%"Llewelyn"
"The Spy Who Loved Me"%1977%"Lewis Gilbert"%"Roger"%"Moore"
"The Spy Who Loved Me"%1977%"Lewis Gilbert"%"Bernard"%"Lee"
"The Spy Who Loved Me"%1977%"Lewis Gilbert"%"Lois"%"Maxwell"
"The Spy Who Loved Me"%1977%"Lewis Gilbert"%"Desmond"%"Llewelyn"
"Moonraker"%1979%"Lewis Gilbert"%"Roger"%"Moore"
"Moonraker"%1979%"Lewis Gilbert"%"Bernard"%"Lee"
"Moonraker"%1979%"Lewis Gilbert"%"Lois"%"Maxwell"
"Moonraker"%1979%"Lewis Gilbert"%"Desmond"%"Llewelyn"
"For Your Eyes Only"%1981%"John Glen"%"Roger"%"Moore"
"For Your Eyes Only"%1981%"John Glen"%"Lois"%"Maxwell"
"For Your Eyes Only"%1981%"John Glen"%"Desmond"%"Llewelyn"
"Octopussy"%1983%"John Glen"%"Roger"%"Moore"
